"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Chain Force Mode: Hope (Holy)","Holy Guidance: Hope","SUM","Single Enemy","Magical","7.92","Holy, NE","0.01","Six single attacks (1.32 each)","N","Lowest HP% enemy","0","Summoning","31543311"
"Chain Force Mode: Vanille","Bonding Guidance: Vanille","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All allies","0","Special","31543312"
"Awoken Ray of Hope","Holy Light","SUM","Single Enemy","Magical","14.64","Holy, NE","0.01","Six single attacks (2.44 each)","N","Lowest HP% enemy","0","Summoning","31543313"
"Zenith Mode: Ingus","Spirit Attack: Ingus","NAT","Self","","","","0.01","Grants [Earth Ability Quick Cast 1], [Instant ATB 1] and [10% Damage Reduction Barrier 1] to the user","N","Self","0","Special","31543322"
"Zenith Mode: Angeal","Spirit Attack: Angeal","NAT","All allies","","","","0.01","Grants [Weakness +30% Boost 3] to user/all allies with 0-3/4+ Knight allies in the party","N","All allies","0","Special","31543323"
"Zenith Mode: Leo","Spirit Attack: Leo","NAT","All allies","","","","0.01","Grants [Critical Damage +20% 2] to all allies","N","All allies","0","Special","31543324"
"Dual Awoken Earth Mode II: Ingus v2","Dual Sasune Call","NAT","All allies","","","","0.01","Grants [Dualcast Knight 1] and [Knight +30% Boost 1] to all allies","N","All allies","0","Special","31543325"
"Dual Awoken Pride Mode II: Angeal v2","Dual Entrusted Pride","NAT","All allies","","","","0.01","Grants [Buff Wind 20% (15s)] and [Buff Holy 20% (15s)] to all allies","N","All allies","0","Special","31543326"
"Awoken Imperial General","Pursuit Sword","PHY","Single Enemy","Physical","3.54","Earth, Holy, NE","0.01","Six single attacks (0.72 each)","Y","Lowest HP% enemy","0","Knight","31543327"
"Imperial General Follow-Up","General Blade","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all front row allies","N","All allies","0","Special","31543340"
"Zenith Mode: Rude","Spirit Attack: Rude","NAT","Single Enemy","","","","0.01","Causes [Imperil Prismatic 10% (15s)]/[Imperil Prismatic 30% (15s)] to the target with 0-4/5 VII allies in the party, Grants [Damage +30% Boost 2] to all allies if there are 5 VII allies in the party","Y","Lowest HP% enemy","0","Special","31543341"
"Zenith Mode: Elena","Spirit Attack: Elena","NAT","All allies","","","","0.01","Grants [100% Critical 2] and [Quick Cast 2] to user / [100% Critical (15s)] and [Critical Damage +50% (15s)] to all allies with 0-3/4+ VII allies in the party","N","All allies","0","Special","31543342"
"Chain Force Mode: Rude","Bonding Guidance: Rude","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All allies","0","Special","31543343"
"Zenith Mode: Leon","Spirit Attack: Leon","NAT","All allies","","","","0.01","Grants [PHY +15% Boost 3] to all allies/ [Damage +30% Boost 3] to all II allies with 0-3/4+ II allies in the party","N","All allies","0","Special","31543351"
"Zenith Mode: Scott","Spirit Attack: Scott","NAT","All allies","","","","0.01","Grants [Weakness +30% Boost 3] to the user/all allies with 0-3/4+ Spellblade or II allies in the party","N","All allies","0","Special","31543352"
"Zenith Mode: Hilda","Spirit Attack: Hilda","WHT","All allies","","","","0.01","Restores HP (25) to all allies","N","All allies","0","White Magic","31543353"
"Chain Force Mode: Hilda","Bonding Guidance: Hilda","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All allies","0","Special","31543356"
"Zenith Mode: Umaro","Spirit Attack: Umaro","NAT","Self","","","","0.01","Grants [Ice Ability Quick Cast 1], [10% Damage Reduction Barrier 1] and [Instant ATB 1] to the user","N","Self","0","Special","31543362"
"Dual Awoken Samurai Mode II (Lasswell)","Dual Power of the Secret Sword","NAT","Self","","","","0.01","Causes [Imperil Prismatic 20% (15s)] and grants [ATK and MND +30%, DEF and RES +25% (8s)] to all allies","N","Lowest HP% enemy","0","Samurai","31543363"
"Zenith Mode: Y'shtola II","Spirit Attack: Y'shtola II","NAT","Self","","","","0.01","Grants [HP Stock (3000)] to all allies, and grants [Soul Break Gauge +250] to the user after 3 chases","N","Self","0","Special","31543371"
"Zenith Mode: Ayame (Ice)","Spirit Attack: Ayame (Ice)","NAT","Self","","","","0.01","Grants [Critical Damage +20% 1], [Damage Cap +10000 1], [Samurai +50% Boost 1] and [Samurai Ability Instant Cast 1] to the user","N","Self","0","Special","31543375"
"Zenith Mode: Elarra","Spirit Attack: Elarra","WHT","All allies","","","","0.01","Restores HP (25) to all allies","N","All allies","0","White Magic","31543377"
"Zenith Mode: Onion Knight (Wind)","Spirit Attack: Onion Knight (Wind)","BLK","Single enemy","Magical","6.00","Wind, NE","0.01","Four single attacks (1.50 each), grants [Damage Cap +10000 1], [Wind Ability +30% Boost 1] and [Wind Ability Quick Cast 1] to the ally who triggered Spirit Attack: Onion Knight (Wind)","Y","Lowest HP% enemy","0","Black Magic","31543379"
"Zenith Mode: Faris","Spirit Attack: Faris","NAT","Single Enemy","","","","0.01","Causes [DEF and RES -50% (8s)], grants [Quick Cast 1] to all allies","N","Lowest HP% enemy","0","Special","31543383"
"Zenith Mode: Sephiroth (Fire)","Spirit Attack: Sephiroth (Fire)","NAT","Self","","","","0.01","Grants [Buff Fire 20% (15s)] and [Fire Ability Quick Cast 3] to the user","N","Self","0","Special","31543387"
"Zenith Mode: Yuffie (Water)","Spirit Attack: Yuffie (Water)","PHY","Single Enemy","Physical","3.54","Water, Earth, NE","0.01","6/8/10 single ranged attacks (0.59 each) after 1/2/3 uses, grants [200% ATB 1] and [Ninja Instant Cast 1] to the user","N","Lowest HP% enemy","0","Ninja","31543389"
"Dual Awoken Ninja Mode II (Yuffie)","The Art of Leaping Forward","NAT","Self","","","","0.01","Grants [Ninja +30% Boost] to the user","N","Self","0","Special","31543390"
"Dual Awoken Fire Mode II: Ace II","Dual Up Card","BLK","Single Enemy","Magical","19.02","Fire, NE","0.01","Eight single attacks (1.32 each) followed by one single attack (8.46) which can break cap, grants [Fire Ability +30% Boost 3] and restores 3 ability uses to the user","Y","Lowest HP% enemy","0","Black Magic","31543392"
"Zenith Mode: Rydia (Earth)","Spirit Attack: Rydia (Earth)","NAT","Self","","","","0.01","Grants [Summoning Instant Cast 2] and [Summoning +30% Boost 2] to the user","N","Self","0","Special","31543399"
"Zenith Mode: Strago (Water)","Spirit Attack: Strago (Water)","NAT","Self","","","","0.01","Grants [Water Ability +30% Boost 2] and [Water Ability Instant Cast 2] to the user","N","Self","0","Special","31543402"
"Zenith Mode: Yuna (Holy)","Spirit Attack: Yuna","SUM","Single Enemy","Magical","14.30","Holy, Wind, NE","0.01","One single attack (14.30) capped at 99999, 16.15 if exploiting weakness","N","Lowest HP% enemy","0","Summoning","31543437"
"Zenith Mode: Jecht","Spirit Attack: Jecht","PHY","Single Enemy","Physical","3.54","Dark, Fire, NE","0.01","Six single attacks (0.59 each)","N","Lowest HP% enemy","0","Monk","31543438"
"Dual Awoken Legend Mode II (Jecht v2)","D: Father's Strength","NAT","All allies","","","","0.01","Grants [PHY +30% Boost 3] to the user/[PHY +30% Boost 3] to all allies/[PHY +30% Boost] to all allies with at least 0-3/4/5 X members","N","All allies","0","Special","31543439"
"Continuous Flash Mode: Yuna","Continuous Flash Chase: Yuna","WHT","Single Enemy","Magical","14.30","Holy, Wind, NE","0.01","One single attack (7.39) capped at 99999, restores 1000 HP to all allies","N","Lowest HP% enemy","0","Summoning","31543440"
"Chain Force Mode: Tidus","Bonding Guidance: Tidus","PHY","Single enemy","Physical","1.92","Water, NE","0.01","Six single ranged attacks (0.32 each)","Y","Lowest HP% enemy","0","Sharpshooter","31543441"
"Zenith Mode: Bartz (Fire)","Spirit Attack: Bartz (Fire)","PHY","Single enemy","Physical","3.36","Fire, NE","0.01","One single attack (3.36) capped at 99999, grants [Spellblade +30% Boost 3] to the user","N","Lowest HP% enemy","0","Spellblade","31543455"
"Zenith Mode: Gogo (V) (Water)","Spirit Attack: Gogo (V) (Water)","NAT","All allies","","","","0.01","Grants [Buff Water 10% (15s)] to all allies","N","All allies","0","Special","31543456"
"Chain Force Mode: Gogo (V) (Water)","Water Guidance: Gogo (V)","BLK","Single Enemy","Magical","5.28","Water, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31543459"
"Zenith Mode: Echo","Spirit Attack: Echo","NAT","All allies","","","","0.01","Restores HP (25) to all allies","N","All allies","0","Dancer","31543473"
"Faerie Mode: Follow-up","Faerie Power","NAT","All allies","","","","0.01","Grants [Buff Prismatic 10% (15s)] to all allies","N","All allies","0","Special","31543475"
"Zenith Mode: Edea","Spirit Attack: Edea","NAT","All allies","","","","0.01","Grants [Damage Cap +10000 2]/[Damage Cap +10000 2] and [(Ice/Dark) Ability +30% Boost 2] to user/all allies if there are 0-2/3+ allies with Attach Ice or Dark in the party","N","All allies","0","Special","31543484"
"Dual Awoken Frostshade Witch Mode II: Edea v2","Dual Inherited Witch Power","NAT","Self","","","","0.01","Grants [Soul Break Gauge +250] to user/Rinoa if Rinoa is not/is in the party","N","Self","0","Special","31543485"
"Chain Force Mode: Squall (Ice)","Ice Guidance: Squall","PHY","Single enemy","Physical","1.28","Ice, NE","0.01","Four single attacks (0.32 each)","Y","Lowest HP% enemy","0","Spellblade","31543486"
"Chain Force Mode: Reynn (Ice)","Ice Guidance: Reynn","NAT","All allies","","","","0.01","Grants [Instant Cast 1] to all allies","N","All allies","0","Special","31543497"
"Dual Awoken Femme Sky Pirate Mode II","Dual Mist Flow","NAT","All allies","","","","0.01","Grants [Buff Ice 20% (15s)], [Buff Lightning 20% (15s)] and [Quick Cast 2] to all allies","N","All allies","0","Special","31543509"
"Chain Force Mode: Fran (Ice)","Ice Guidance: Fran","NAT","All allies","","","","0.01","Grants [Buff Ice 20% (5s)] to all allies","N","All allies","0","Special","31543511"
"Zenith Mode: Auron","Spirit Attack: Auron","NAT","All allies","","","","0.01","Grants [Critical Damage +20% 2] to all allies","N","All allies","0","Special","31543525"
"Zenith Mode: Jack","Spirit Attack: Jack","NAT","All allies","","","","0.01","Grants [Weakness +30% Boost 3] to the user/all allies with 0-3/4+ Samurai or Type-0 allies in the party","N","All allies","0","Special","31543526"
"Dual Awoken Samurai Mode I: Jack v2","Vermillion Tranquility","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies in the same row","N","All allies","0","Special","31543527"
"Dual Awoken Samurai Mode II: Jack v2","Dual Zealous Counter","NAT","All allies","","","","0.01","Grants [Buff Fire 30% (15s) to all allies with 0-3 Samurai allies in the party, Causes [Imperil Prismatic 20% (15s)] to the target and grants [ATK and MND +15%, DEF and RES +25% (8s)] to all allies with 4+ Samurai allies in the party","N","All allies","0","Special","31543528"
"Awoken Fabled Hero","Flame Sword","PHY","Single enemy","Physical","","Fire, NE","0.01","Six single attacks (0.32/0.01 each) at 0-2/3+ Samurai allies in the party, Causes [Imperil Fire 10% (5s)] to the target with 3+ Samurai allies in the party","Y","Lowest HP% enemy","0","Samurai","31543529"
"Chain Force Mode: Kurasame (Ice)","Ice Guidance: Kurasame","NAT","Single enemy","Hybrid","-","Ice, NE","0.01","Six single hybrid attacks (0.32 or 1.32 each)","Y","Lowest HP% enemy","0","Spellblade","31543574"
"Chain Force Mode: Cinque","Bonding Guidance: Cinque","NAT","All allies","","","","0.01","Grants [Instant Cast 1] to all allies","N","All allies","0","Special","31543575"
"Zenith Mode: Gordon","Spirit Attack: Gordon","NAT","Single enemy","","","","0.01","Causes [Imperil Prismatic 10% (15s)]","N","Lowest HP% enemy","0","Special","31543588"
"Chain Force Mode: Firion","Kindred Guidance: Firion","PHY","Single enemy","Physical","1.86","Holy, Ice, Fire, NE","0.01","Six single attacks (0.31 each)","Y","Lowest HP% enemy","0","Combat","31543589"
"Chain Force Mode: Gordon","Kindred Guidance: Gordon","NAT","All allies","","","","0.01","Grant [Instant Cast 1]","N","All allies","0","Special","31543590"
"Zenith Mode: Edward","Spirit Attack: Edward","NAT","Triggering Ally","","","","0.01","Grants [200% ATB 1] and [Prismatic +30% Boost 1] to the triggering ally","N","Triggering Ally","0","Special","31543602"
"Chain Force Mode: Cecil (Paladin)","Kindred Guidance: Cecil (Paladin)","NAT","Single enemy","Hybrid","-","Holy, NE","0.01","Four single hybrid attacks (0.32/1.4 each) ","N","Lowest HP% enemy","0","Special","31543603"
"Chain Force Mode: Porom","Spirit Attack: Porom","NAT","All allies","","","","0.01","Grants [Instant Cast 1] to all allies","N","All allies","0","Special","31543604"
"Zenith Mode: Curilla","Spirit Attack: Curilla","NAT","All allies","","","","0.01","Grants [Damage Cap +10000 2] to user/[Damage Cap +10000 2] and [Prismatic +30% Boost 2] to all allies if 0-3/4+ XI/Knight allies are alive","N","All allies","0","Special","31543618"
"Zenith Mode: Naja","Spirit Attack: Naja","NAT","All allies","","","","0.01","Grants [Weakness +30% Boost 1] to all allies","N","All allies","0","Special","31543619"
"Dual Awoken President Salaheem Mode I","President's Command","NAT","All allies","","","","0.01","Grants [Buff Prismatic 10% (5s)] to all allies","N","All allies","0","Special","31543620"
"Dual Awoken President Salaheem Mode II","Extraordinary Bonus","NAT","All allies","","","","0.01","Grants [100% Critical 1],  [Critical Damage +50% 1], [Critical Damage +20% 1] and [Instant Cast 1] to all allies","N","All allies","0","Special","31543621"
"Peacebreaker Chase Mode","President's Duty","NAT","All allies","","","","0.01","Grants [PHY +30% Boost 1] to all allies","N","All allies","0","Special","31543622"
"Chain Force Mode: Curilla","Kindred Guidance: Curilla","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All allies","0","Special","31543625"
"Awoken President Salaheem","Salary","NAT","All allies","","","","0.01","Grants [Buff Prismatic 10% (5s)] to all allies","N","All allies","0","Special","31543627"
"Dual Awoken Dark Mode II (Golbez II)","Dual Dark Curse","NAT","Single Enemy","","","","0.01","Causes [Imperil Dark 20% (25s)], grants [Quick Cast 2] to the user","N","Lowest HP% enemy","0","Special","31543647"
"EX: No Discussion","Strongest Swordplay","PHY","Single enemy","Physical","-","Fire, NE","0.01","Randomly deals one (25%), four (25%), six (25%) or ten (25%) single attacks (0.37 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549010"
"EX: Spellblade Barrage","Wind Barrage","PHY","Random enemies","Physical","-","Wind, NE","2.50","Randomly deals two (50%) or eight (50%) random attacks (0.40 each), 100% hit rate","Y","Random enemies","0","Spellblade","30511838"
"EX: Spellblade Barrage","Water Barrage","PHY","Random enemies","Physical","-","Water, NE","2.50","Randomly deals two (50%) or eight (50%) random attacks (0.40 each), 100% hit rate","Y","Random enemies","0","Spellblade","30511837"
"EX: Spellblade Barrage","Fire Barrage","PHY","Random enemies","Physical","-","Fire, NE","2.50","Randomly deals two (50%) or eight (50%) random attacks (0.40 each), 100% hit rate","Y","Random enemies","0","Spellblade","30511836"
"EX: Spellblade Barrage","Earth Barrage","PHY","Random enemies","Physical","-","Earth, NE","2.50","Randomly deals two (50%) or eight (50%) random attacks (0.40 each), 100% hit rate","Y","Random enemies","0","Spellblade","30511835"
"EX: Essence of Wind","Inherited Swordplay 1","PHY","Single enemy","Physical","0.30","Wind, NE","0.01","One single attack (0.30), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547050"
"EX: Essence of Wind","Inherited Swordplay 2","PHY","Single enemy","Physical","1.50","Wind, NE","0.01","Five single attacks (0.30 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547051"
"EX: Essence of Wind","Inherited Swordplay 3","PHY","Single enemy","Physical","4.50","Wind, NE","0.01","Fifteen single attacks (0.30 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547052"
"Barrage Master Follow-Up","Barrage Master","PHY","Single enemy","Physical","3.52","Fire, Water, Wind, Earth, NE","0.01","Eight single attacks (0.44 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547114"
"Pirate's Steel Follow-Up","Pirate's Steel","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10%] for 15 seconds","N","Lowest HP% enemy","0","Thief","30548232"
